0,169525
1,183008
2,190323
3,118019
4,190365
5,198291
6,184457
7,174991
8,169099
9,155535
10,184397
11,176309
12,156436
13,199270
14,169600
15,199376
16,200347
17,189328
18,187685
19,194650
20,172601
21,186881
22,156235
23,150921
24,188164
25,193948
26,172148
27,183049
28,258370
29,249824
30,240815
31,237635
32,245250
33,243150
34,133349
35,174540
36,238720
37,135490
38,137231
39,182417
40,177945
41,154146
42,167776
43,240775
44,242737
45,247931
46,241212
47,241866
48,182559
49,240270
50,136820
51,245045
52,252695
53,246160
54,243142
55,152278
56,119712
57,246461
58,164874
59,184886
60,246125
61,136073
62,245832
63,180793
64,240070
65,275597
66,252555
67,193999
68,242356
69,170373
70,264250
71,159115
72,150280
73,145697
74,167784
75,171841
76,339096
77,194414
78,166289
79,154536
80,250456
81,198640
82,147706
83,196266
84,241941
85,161770
86,141242
87,199495
88,183700
89,164309
90,249798
91,253016
92,184370
93,260175
94,244814
95,133997
96,181522
97,155904
98,164310
99,164141
100,261887
101,144272
102,285980
103,270941
104,161393
105,147951
106,282329
107,255225
108,253597
109,252688
110,160863
111,200321
112,182743
113,197225
114,174259
115,167957
116,152997
117,266339
118,174327
119,157065
120,285916
121,240478
122,166041
123,188916
124,168217
125,149737
126,157983
127,190493
128,161069
129,154252
130,260619
131,187577
132,253635
133,173782
134,183124
135,153904
136,180514
137,262871
138,183241
139,201175
140,199044
141,175835
142,199244
143,162452
144,199757
145,188840
146,149861
147,243385
148,246061
149,185462
150,172303
151,181930
152,170983
153,267060
154,177062
155,151742
156,253191
157,177541
158,161714
159,161737
160,140620
161,251788
162,252471
163,150767
164,237034
165,184368
166,175881
167,267011
168,256618
169,147614
170,169116
171,196299
172,172151
173,190859
174,300408
175,238642
176,253548
177,259216
178,140773
179,271563
180,131844
181,270877
182,248058
183,243641
184,162734
185,268870
186,161772
187,181550
188,234422
189,133554
190,128995
191,143976
192,160048
193,177398
194,186314
195,160841
196,140175
197,124583
198,291305
199,268740
200,178838
201,247075
202,249112
203,119608
204,172254
205,169981
206,133610
207,179687
208,154514
209,273064
210,148140
211,157112
212,151097
213,298419
214,264813
215,262723
216,136539
217,278742
218,168307
219,178766
220,255990
221,153020
222,149008
223,185444
224,249572
225,263915
226,265185
227,257203
228,153179
229,185872
230,185720
231,192402
232,174806
233,280240
234,193234
235,149257
236,172370
237,178728
238,261134
239,175403
240,271310
241,152731
242,185464
243,164978
244,268148
245,259533
246,192270
247,161807
248,172331
249,168839
250,271282
251,250852
252,267336
253,255779
254,143012
255,158502
256,176257
257,161534
258,164118
259,147098
260,140653
261,253084
262,268402
263,164139
264,173566
265,158420
266,166957
267,257214
268,138417
269,185070
270,163264
271,167873
272,159833
273,272312
274,338689
275,175156
276,200433
277,173055
278,149381
279,253416
280,129016
281,153835
282,171730
283,154524
284,287609
285,249803
286,279627
287,282491
288,265884
289,172761
290,176696
291,162186
292,152413
293,113544
294,262900
295,130909
296,280420
297,146851
298,267388
299,156573
300,162667
301,166881
302,147128
303,145498
304,143233
305,158846
306,154415
307,179629
308,260153
309,252128
310,143870
311,162041
312,170676
313,167672
314,157499
315,160892
316,182317
317,141283
